sample_accession_id,sample_alias,file_name,file_accession_id
EGAN00003220664,CGPLH928P,CGPLH928P.bam,EGAF00005323075
EGAN00003220665,CGPLLU500P,CGPLLU500P.bam,EGAF00005323411
EGAN00003220666,CGPLH949P,CGPLH949P.bam,EGAF00005323091
EGAN00003220667,CGPLLU463P,CGPLLU463P.bam,EGAF00005323373
EGAN00003220668,CGPLH940P,CGPLH940P.bam,EGAF00005323082
EGAN00003220669,CGPLLU322P,CGPLLU322P.bam,EGAF00005323232
EGAN00003220670,CGPLH939P,CGPLH939P.bam,EGAF00005323081
EGAN00003220671,CGPLLU272P,CGPLLU272P.bam,EGAF00005323177
EGAN00003220672,CGPLH938P,CGPLH938P.bam,EGAF00005323080
EGAN00003220673,CGPLLU574P,CGPLLU574P.bam,EGAF00005323485
EGAN00003220674,CGPLH697P_1,CGPLH697P_1.bam,EGAF00005322902
EGAN00003220675,CGPLH714P_1,CGPLH714P_1.bam,EGAF00005322918
EGAN00003220676,CGPLLU276P,CGPLLU276P.bam,EGAF00005323181
EGAN00003220677,CGPLH696P_1,CGPLH696P_1.bam,EGAF00005322901
EGAN00003220678,CGPLH715P_1,CGPLH715P_1.bam,EGAF00005322919
EGAN00003220679,CGPLH952P,CGPLH952P.bam,EGAF00005323094
EGAN00003220680,CGPLH695P_1,CGPLH695P_1.bam,EGAF00005322900
EGAN00003220681,CGPLH951P,CGPLH951P.bam,EGAF00005323093
EGAN00003220682,CGPLH694P_1,CGPLH694P_1.bam,EGAF00005322899
EGAN00003220683,CGPLH950P,CGPLH950P.bam,EGAF00005323092
EGAN00003220684,CGPLH693P_1,CGPLH693P_1.bam,EGAF00005322898
EGAN00003220685,CGPLH728P_1,CGPLH728P_1.bam,EGAF00005322932
EGAN00003220686,CGPLH906P,CGPLH906P.bam,EGAF00005323053
EGAN00003220687,CGPLH735P_1,CGPLH735P_1.bam,EGAF00005322939
EGAN00003220688,CGPLH716P_1,CGPLH716P_1.bam,EGAF00005322920
EGAN00003220689,CGPLH717P_1,CGPLH717P_1.bam,EGAF00005322921
EGAN00003220690,CGPLLU541P,CGPLLU541P.bam,EGAF00005323452
EGAN00003220691,CGPLLU453P,CGPLLU453P.bam,EGAF00005323363
EGAN00003220692,CGPLLU288P,CGPLLU288P.bam,EGAF00005323194
EGAN00003220693,CGPLLU455P,CGPLLU455P.bam,EGAF00005323365
EGAN00003220694,CGPLLU369P,CGPLLU369P.bam,EGAF00005323279
EGAN00003220695,CGPLLU540P,CGPLLU540P.bam,EGAF00005323451
EGAN00003220696,CGPLLU592P,CGPLLU592P.bam,EGAF00005323502
EGAN00003220697,CGPLLU510P,CGPLLU510P.bam,EGAF00005323421
EGAN00003220698,CGPLLU385P,CGPLLU385P.bam,EGAF00005323295
EGAN00003220699,CGPLLU436P,CGPLLU436P.bam,EGAF00005323346
EGAN00003220700,CGPLLU506P,CGPLLU506P.bam,EGAF00005323417
EGAN00003220701,CGPLH718P_1,CGPLH718P_1.bam,EGAF00005322922
EGAN00003220702,CGPLLU505P,CGPLLU505P.bam,EGAF00005323416
EGAN00003220703,CGPLH704P_1,CGPLH704P_1.bam,EGAF00005322908
EGAN00003220704,CGPLH719P_1,CGPLH719P_1.bam,EGAF00005322923
EGAN00003220705,CGPLLU504P,CGPLLU504P.bam,EGAF00005323415
EGAN00003220706,CGPLH918P,CGPLH918P.bam,EGAF00005323065
EGAN00003220707,CGPLH900P,CGPLH900P.bam,EGAF00005323047
EGAN00003220708,CGPLLU368P,CGPLLU368P.bam,EGAF00005323278
EGAN00003220709,CGPLH917P,CGPLH917P.bam,EGAF00005323064
EGAN00003220710,CGPLH736P_1,CGPLH736P_1.bam,EGAF00005322940
EGAN00003220711,CGPLLU502P,CGPLLU502P.bam,EGAF00005323413
EGAN00003220712,CGPLH383P_2,CGPLH383P_2.bam,EGAF00005322748
EGAN00003220713,CGPLH915P,CGPLH915P.bam,EGAF00005323062
EGAN00003220714,CGPLH914P,CGPLH914P.bam,EGAF00005323061
EGAN00003220715,CGPLH432P_2,CGPLH432P_2.bam,EGAF00005322757
EGAN00003220716,CGPLH913P,CGPLH913P.bam,EGAF00005323060
EGAN00003220717,CGPLH431P_2,CGPLH431P_2.bam,EGAF00005322756
EGAN00003220718,CGPLLU253P,CGPLLU253P.bam,EGAF00005323174
EGAN00003220719,CGPLH437P_2,CGPLH437P_2.bam,EGAF00005322759
EGAN00003220720,CGPLH946P,CGPLH946P.bam,EGAF00005323088
EGAN00003220721,CGPLH435P_2,CGPLH435P_2.bam,EGAF00005322758
